2025-12-31 16:48:26.212591,0x0010 8
2025-12-31 16:48:26.403941,0x0000 8
2025-12-31 16:48:26.896645,0x0010 8
2025-12-31 16:48:27.039925,0x0000 8
2025-12-31 16:48:27.764843,0x0010 8
2025-12-31 16:48:27.912333,0x0000 8
2025-12-31 16:48:29.472763,0x0000 4
2025-12-31 16:48:29.587525,0x0000 8
2025-12-31 16:48:29.660069,0x0000 4
2025-12-31 16:48:29.780425,0x0000 8
2025-12-31 16:48:29.836816,0x0000 4
2025-12-31 16:48:29.988841,0x0000 8
2025-12-31 16:48:30.076187,0x0010 8
2025-12-31 16:48:30.252037,0x0000 8
2025-12-31 16:48:30.611675,0x0010 8
2025-12-31 16:48:30.744955,0x0000 8
2025-12-31 16:48:30.896855,0x0010 8
2025-12-31 16:48:31.004219,0x0000 8
2025-12-31 16:48:31.323706,0x0010 8
2025-12-31 16:48:31.464624,0x0000 8
2025-12-31 16:48:31.592554,0x0010 8
2025-12-31 16:48:31.711579,0x0000 8
2025-12-31 16:48:31.828427,0x0010 8
2025-12-31 16:48:31.952875,0x0000 8
2025-12-31 16:48:32.080186,0x0010 8
2025-12-31 16:48:32.228264,0x0000 8
2025-12-31 16:48:33.247777,0x0010 8
2025-12-31 16:48:33.393033,0x0000 8
2025-12-31 16:48:33.964323,0x0010 8
2025-12-31 16:48:34.144583,0x0000 8
2025-12-31 16:48:34.748929,0x0010 8
2025-12-31 16:48:34.916471,0x0000 8
2025-12-31 16:48:34.916471,0x0003 8 80 80 80 80
